index,descriptors,relative_frequency
"Glera, Italian White, Veneto, Northeast Italy, Italy",jasmine,0.06
"Red Blends, Red Blends, Colchagua Valley, Central Valley, Chile",flower,0.05
"Grenache, Aragon, Northeast Spain, Spain",plum,0.05
"Nerello Mascalese, Italian Red, Sicily, Southern Italy, Italy",blue_flower,0.04
"Sauvignon Blanc, Coastal Region, South Africa",plum,0.04
"Riesling, Long Island, New York, USA",earth,0.02
"Chardonnay, Napa-Sonoma, North Coast, California, USA",pear,0.04
"Riesling, Rheinhessen, Germany",peach,0.04
"Chardonnay, Sicily, Southern Italy, Italy",oak,0.06
"Riesling, Western Australia, Australia",rocks,0.05
"Sauvignon Blanc, Sierra Foothills, California, USA",herbacious,0.04
"White Blend, La Rioja, Northeast Spain, Spain",salinity,0.04
"Merlot, Sonoma Valley, North Coast, California, USA",herbacious,0.04
"Red Blends, Red Blends, Judea, Israel",fruit,0.03
"Pinot Noir, Mendoza, Argentina",rubber,0.03
"Chardonnay, Long Island, New York, USA",tree_fruit,0.03
"White Blend, Sicily, Southern Italy, Italy",stone,0.04
"Red Blends, Red Blends, Castilla and Leon, Northwest Spain, Spain",raisin,0.04
"Grenache, Navarra, Northeast Spain, Spain",candy,0.04
"Sauvignon Blanc, San Luis Obispo, Central Coast, California, USA",lemongrass,0.06
"Pinot Grigio, Sonoma Valley, North Coast, California, USA",steel,0.03
"Pinot Noir, Lombardy, Northwest Italy, Italy",cherry,0.05
"Pinot Grigio, Alto Adige, Northeast Italy, Italy",savory,0.05
"Tempranillo, Sierra Foothills, California, USA",dust,0.03
"White Blend, Tuscany, Central Italy, Italy",acacia,0.03
"Chardonnay, Finger Lakes, New York, USA",ripe,0.04
"Grenache, Santa Barbara, Central Coast, California, USA",plum,0.03
"Riesling, Pfalz, Germany",citrus,0.05
"Bordeaux-style Red Blend, Colchagua Valley, Central Valley, Chile",flower,0.06
"Red Blends, Red Blends, Columbia Valley, Oregon, USA",potpourri,0.03
"Pinot Noir, Patagonia, Argentina",spice,0.04
"Sauvignon Blanc, Cape South Coast, South Africa",wood,0.06
"Red Blends, Red Blends, Murcia, Northeast Spain, Spain",oak,0.04
"Syrah, Limari Valley, Coquimbo Region, Chile",minerality,0.06
"Viognier, Santa Barbara, Central Coast, California, USA",honeydew,0.04
"Sauvignon Blanc, Hawkes Bay, New Zealand",nectarine,0.04
"Durella, Italian White, Veneto, Northeast Italy, Italy",lees,0.05
"Red Blends, Red Blends, Santa Barbara, Central Coast, California, USA",black_currant,0.04
"Lagrein, Italian Red, Alto Adige, Northeast Italy, Italy",earth,0.05
"Cabernet Franc, Mendoza, Argentina",cherry,0.04
"Chardonnay, Limari Valley, Coquimbo Region, Chile",vanilla,0.05
"Sauvignon Blanc, Steiermark, Austria",fruit,0.05
"Sauvignon Blanc, Castilla and Leon, Northwest Spain, Spain",lime,0.04
"Red Blends, Red Blends, Veneto, Northeast Italy, Italy",earth,0.04
"Red Blends, Red Blends, Navarra, Northeast Spain, Spain",burnt,0.04
"Petite Sirah, Paso Robles, Central Coast, California, USA",vanilla,0.03
"Red Blends, Red Blends, Mendocino, North Coast, California, USA",cedar,0.03
"Merlot, Rapel Valley, Central Valley, Chile",herb,0.04
"Chardonnay, Clear Lake, North Coast, California",vanilla,0.06
"Petite Sirah, Sonoma Valley, North Coast, California, USA",ripe,0.05
"White Blend, Catalunya, Northeast Spain, Spain",petrol,0.04
"Bordeaux-style White Blend, White Blend, Southwest France, France",botrytis,0.05
"White Blend, Mendoza, Argentina",yeast,0.04
"Sauvignon Blanc, Mendocino, North Coast, California, USA",oak,0.05
"Bordeaux-style Red Blend, Virginia, USA",ripe,0.04
"Chardonnay, Monterey, Central Coast, California, USA",ripe,0.04
"Grenache, Southern Oregon, Oregon, USA",oak,0.06
"Chardonnay, Western Australia, Australia",melon,0.03
"Pinot Noir, Alto Adige, Northeast Italy, Italy",ripe,0.04
"Cabernet Sauvignon, Cachapoal Valley, Central Valley, Chile",toast,0.05
"Pinot Grigio, Trento, Northeast Italy, Italy",ripe,0.05
"Riesling, Idaho, USA",ripe,0.05
"Tokay Pinot Gris, Alsace, France",currant,0.03
"Bordeaux-style White Blend, White Blend, Entre-Deux-Mers, Bordeaux",wood_age,0.05
"Cabernet Sauvignon, Tuscany, Central Italy, Italy",berry,0.05
"Riesling, Willamette Valley, Oregon, USA",juicy,0.04
"Red Blends, Red Blends, Catalunya, Northeast Spain, Spain",leather,0.04
"Chardonnay, Navarra, Northeast Spain, Spain",peach,0.04
"Bordeaux-style Red Blend, Graves, Bordeaux, France",perfumed,0.02
"Sauvignon Blanc, Alto Adige, Northeast Italy, Italy",flower,0.04
"Chardonnay, Cote de Nuits, Burgundy, France",toast,0.05
"Merlot, Maipo Valley, Central Valley, Chile",fruit,0.05
"Merlot, Curico Valley, Central Valley, Chile",wood,0.05
"Fiano, Italian White, Campania, Southern Italy, Italy",pear,0.06
"Bordeaux-style Red Blend, Sauternais, Bordeaux, France",chocolate,0.05
"Red Blends, Red Blends, Aragon, Northeast Spain, Spain",ripe,0.05
"Chardonnay, Chablis, Burgundy, France",toast,0.04
"Sauvignon Blanc, San Antonio, Aconcagua Region, Chile",bell_pepper,0.05
"Chardonnay, Casablanca Valley, Aconcagua Region, Chile",oily,0.04
"Dolcetto, Italian Red, Piedmont, Northwest Italy, Italy",blackberry,0.05
"Cabernet Sauvignon, Maule Valley, Central Valley, Chile",ripe,0.04
"Red Blends, Red Blends, Inland Valleys, California, USA",blackberry,0.05
"Sauvignon Blanc, Maule Valley, Central Valley, Chile",grapefruit,0.04
"Pinot Noir, Victoria, Australia",flower,0.06
"Cabernet Sauvignon, Sierra Foothills, California, USA",blackberry,0.04
"Riesling, Southern Oregon, Oregon, USA",tangerine,0.05
"Tinto del Pais, Tempranillo, Castilla and Leon, Northwest Spain, Spain",ripe,0.05
"Chardonnay, Gisborne, New Zealand",spice,0.05
"Cabernet Sauvignon, Coastal Region, South Africa",mint,0.05
"Syrah, Maipo Valley, Central Valley, Chile",blackberry,0.04
"Zinfandel, San Francisco Bay, Central Coast, California, USA",blackberry,0.03
"Pinot Noir, Wairarapa, New Zealand",smoke,0.05
"Merlot, Galilee, Israel",juicy,0.05
"Grenache, La Rioja, Northeast Spain, Spain",strawberry,0.05
"Merlot, Napa Valley, North Coast, California, USA",spice,0.05
"Riesling, Niederosterreich, Austria",apple,0.03
"Riesling, Alsace, France",steel,0.04
"Tannat-Cabernet, Red Blends, Southwest France, France",spice,0.04
"Cabernet Sauvignon, Salta, Argentina",funky,0.02
"Bordeaux-style Red Blend, Long Island, New York, USA",herb,0.04
"Syrah, Aconcagua Valley, Aconcagua Region, Chile",spice,0.04
"Cabernet Sauvignon, Maipo Valley, Central Valley, Chile",fruit,0.04
"Pinot Grigio, Mendocino, North Coast, California, USA",steel,0.04
"Cabernet Sauvignon, Galilee, Israel",fruit,0.05
"Red Blends, Red Blends, Sicily, Southern Italy, Italy",dark_berry,0.03
"Zinfandel, Inland Valleys, California, USA",raspberry,0.03
"Grenache, Sierra Foothills, California, USA",flower,0.04
"Chardonnay, Victoria, Australia",ripe,0.04
"White Blend, Southwest France, France",wood,0.03
"Syrah, South Coast, California, USA",bacon,0.03
"Aglianico, Italian Red, Campania, Southern Italy, Italy",plum,0.05
"Sauvignon Blanc, Inland Valleys, California, USA",smoke,0.06
"Petite Sirah, Mendocino, North Coast, California, USA",earth,0.04
"Syrah, Victoria, Australia",smoke,0.04
"Chardonnay, South Australia, Australia",pineapple,0.05
"Merlot, Coastal Region, South Africa",fruit,0.06
"Sauvignon Blanc, Mendoza, Argentina",peach,0.04
"Pinot Noir, Casablanca Valley, Aconcagua Region, Chile",plum,0.03
"Red Blends, Red Blends, Southern Oregon, Oregon, USA",plum,0.04
"Chardonnay, Auckland, New Zealand",fruit,0.05
"Sangiovese, Tuscany, Central Italy, Italy",forest_floor,0.04
"Red Blends, Red Blends, Napa Valley, North Coast, California, USA",herb,0.04
"Zinfandel, Clear Lake, North Coast, California",blackberry,0.03
"Bordeaux-style Red Blend, Santa Barbara, Central Coast, California, USA",red_currant,0.04
"Malbec, Patagonia, Argentina",rubber,0.04
"Pinot Noir, San Antonio, Aconcagua Region, Chile",herb,0.04
"Tinta de Toro, Tempranillo, Castilla and Leon, Northwest Spain, Spain",berry,0.04
"Red Blends, Red Blends, Piedmont, Northwest Italy, Italy",cherry,0.05
"Pinot Noir, Canterbury and Waipara, New Zealand",toast,0.05
"Cabernet Sauvignon, Sonoma Valley, North Coast, California, USA",herb,0.04
"Cabernet Sauvignon, Curico Valley, Central Valley, Chile",leather,0.04
"Cabernet Franc, San Francisco Bay, Central Coast, California, USA",red_fruit,0.02
"Red Blends, Red Blends, Puglia, Southern Italy, Italy",tobacco,0.03
"Merlot, Cachapoal Valley, Central Valley, Chile",black_fruit,0.05
"Bordeaux-style Red Blend, Hawkes Bay, New Zealand",cedar,0.05
"Cabernet Sauvignon, Judea, Israel",toast,0.05
"Chardonnay, Maipo Valley, Central Valley, Chile",pear,0.04
"Sangiovese, Sierra Foothills, California, USA",oak,0.06
"Pinot Grigio, Columbia Valley, Washington, USA",citrus,0.05
"Bordeaux-style Red Blend, Western Australia, Australia",red_currant,0.03
"Tempranillo Blend, Tempranillo, La Rioja, Northeast Spain, Spain",fruit,0.04
"Tempranillo, La Rioja, Northeast Spain, Spain",leather,0.04
"Chardonnay, Virginia, USA",flower,0.04
"Tempranillo, Valencia, Northeast Spain, Spain",bramble,0.05
"Pinot Noir, Cote de Nuits, Burgundy, France",cherry,0.03
"Sauvignon Blanc, Colchagua Valley, Central Valley, Chile",lime,0.03
"Pinot Noir, Willamette Valley, Oregon, USA",spice,0.04
"Malbec, Napa Valley, North Coast, California, USA",cherry,0.06
"Cabernet Franc, Columbia Valley, Washington, USA",plum,0.02
"Pinot Noir, Napa Valley, North Coast, California, USA",black_tea,0.05
"Viognier, Columbia Valley, Washington, USA",spice,0.03
"Chardonnay, New South Wales, Australia",smoke,0.05
"Bordeaux-style Red Blend, Entre-Deux-Mers, Bordeaux",blackcurrant,0.03
"Chardonnay, Beaujolais, France",wood,0.02
"Pinot Noir, Tasmania, Australia",toast,0.05
"Red Blends, Red Blends, Columbia Valley, Washington, USA",plum,0.03
"Garganega, Italian White, Veneto, Northeast Italy, Italy",white_flower,0.04
"Riesling, Santa Barbara, Central Coast, California, USA",lime_pith,0.02
"Chardonnay, Paso Robles, Central Coast, California, USA",lemon_peel,0.05
"Riesling, Ontario, Canada",herb,0.04
"Chardonnay, Coastal Region, South Africa",lactic,0.05
"Pinot Noir, Niederosterreich, Austria",juicy,0.04
"Chardonnay, Maconnais, Burgundy, France",citrus,0.04
"Tempranillo, Mendoza, Argentina",ripe,0.04
"Petite Sirah, Sierra Foothills, California, USA",raspberry,0.03
"White Blend, Umbria, Central Italy, Italy",stone,0.05
"Nero dAvola, Italian Red, Sicily, Southern Italy, Italy",plum,0.04
"Merlot, Paso Robles, Central Coast, California, USA",herb,0.04
"Syrah, Mendoza, Argentina",ripe,0.03
"Bordeaux-style Red Blend, Bourg & Blaye, Bordeaux, France",black_currant,0.03
"Nebbiolo, Lombardy, Northwest Italy, Italy",spice,0.05
"Sangiovese, Emilia-Romagna, Northeast Italy, Italy",undergrowth,0.04
"Red Blends, Red Blends, Coteaux de Languedoc, Languedoc-Roussillon, France",bramble,0.03
"Chardonnay, Marlborough, New Zealand",tropical_fruit,0.06
"Cabernet Sauvignon, Santa Barbara, Central Coast, California, USA",pepper,0.02
"Grenache, Castilla-La Mancha, Central Spain, Spain",raisin,0.06
"White Blend, Galicia, Northwest Spain, Spain",tropical_fruit,0.04
"Zinfandel, Paso Robles, Central Coast, California, USA",candy,0.04
"Bordeaux-style Red Blend, Sonoma Valley, North Coast, California, USA",herb,0.05
"Syrah, Western Australia, Australia",berry,0.03
"Cabernet Sauvignon, Mendocino, North Coast, California, USA",dark_fruit,0.03
"Syrah, Southern Oregon, Oregon, USA",pepper,0.03
"Sauvignon Blanc, Burgenland, Austria",honey,0.05
"Merlot, Santa Barbara, Central Coast, California, USA",flower,0.03
"Zinfandel, Columbia Valley, Washington, USA",vanilla,0.04
"Chardonnay, Cote de Beaune, Burgundy, France",lactic,0.03
"White Blend, Southern Greece, Greece",tropical_fruit,0.05
"White Blend, Pais Vasco, Northwest Spain, Spain",lemon,0.06
"Turbiana, Italian White, Lombardy, Northwest Italy, Italy",wild_flower,0.03
"Bordeaux-style Red Blend, Libournais, Bordeaux, France",wood,0.02
"Chardonnay, Cape South Coast, South Africa",flint,0.04
"Sauvignon Blanc, Columbia Valley, Washington, USA",citrus,0.04
"Tempranillo, Navarra, Northeast Spain, Spain",fruit,0.06
"Zinfandel, Sonoma Valley, North Coast, California, USA",spice,0.04
"Austrian white blend, White Blend, Niederosterreich, Austria",pear,0.05
"Syrah, Cachapoal Valley, Central Valley, Chile",grapey,0.04
"Riesling, Canterbury and Waipara, New Zealand",citrus,0.03
"Red Blends, Red Blends, Cachapoal Valley, Central Valley, Chile",oak,0.04
"Pinot Noir, Santa Barbara, Central Coast, California, USA",strawberry,0.03
"Cabernet Sauvignon, Clear Lake, North Coast, California",leather,0.05
"Red Blends, Red Blends, Tuscany, Central Italy, Italy",earth,0.05
"Sagrantino, Italian Red, Umbria, Central Italy, Italy",blue_flower,0.06
"Tempranillo, Inland Valleys, California, USA",pepper,0.05
"Red Blends, Red Blends, Southern Greece, Greece",fruit,0.05
"Chardonnay, Curico Valley, Central Valley, Chile",pear,0.04
"Bordeaux-style White Blend, White Blend, Graves, Bordeaux, France",wood_age,0.04
"Syrah, Inland Valleys, California, USA",blackberry,0.03
"Malbec, Mendoza, Argentina",rubber,0.03
"Chardonnay, Sonoma Valley, North Coast, California, USA",caramel,0.04
"Syrah, Columbia Valley, Oregon, USA",vanilla,0.03
"White Blend, Veneto, Northeast Italy, Italy",peach,0.04
"Chardonnay, Friuli-Venezia Giulia, Northeast Italy, Italy",ripe,0.04
"Pinot Noir, South Australia, Australia",sappy,0.03
"Red Blends, Red Blends, Maule Valley, Central Valley, Chile",cherry,0.05
"Cabernet Sauvignon, Inland Valleys, California, USA",juicy,0.03
"Red Blends, Red Blends, Sierra Foothills, California, USA",berry,0.03
"White Blend, Columbia Valley, Washington, USA",citrus,0.04
"Chardonnay, Mendocino, North Coast, California, USA",citrus,0.03
"Bordeaux-style Red Blend, San Francisco Bay, Central Coast, California, USA",leather,0.04
"Red Blends, Red Blends, Coastal Region, South Africa",flower,0.03
"Viognier, Mendoza, Argentina",apple,0.05
"Cabernet Franc, Finger Lakes, New York, USA",herb,0.03
"Cabernet Franc, Anjou-Saumar, Loire Valley, France",chalk,0.03
"Merlot, Southern Oregon, Oregon, USA",earth,0.04
"Red Blends, Red Blends, Mendoza, Argentina",jam,0.03
"Riesling, Marlborough, New Zealand",rocks,0.03
"Riesling, Central Otago, New Zealand",spice,0.03
"Pinot Noir, Champagne, France",red_currant,0.04
"Syrah, Northern Rhone, Rhone Valley, France",spice,0.04
"Chardonnay, Napa Valley, North Coast, California, USA",caramel,0.03
"Red Blends, Red Blends, Thracian Valley, Bulgaria",berry,0.03
"Chardonnay, Galilee, Israel",pineapple,0.04
"Syrah, Galilee, Israel",oak,0.03
"Grenache, Paso Robles, Central Coast, California, USA",purple_flower,0.04
"Red Blends, Red Blends, South Australia, Australia",cedar,0.04
"Bordeaux-style Red Blend, Maipo Valley, Central Valley, Chile",toast,0.04
"Chardonnay, Willamette Valley, Oregon, USA",citrus,0.03
"Red Blends, Red Blends, Galilee, Israel",blueberry,0.04
"Pinot Noir, Cote Chalonnaise, Burgundy, France",smoke,0.02
"Pinot Noir, Maule Valley, Central Valley, Chile",leather,0.03
"Pinot Noir, Columbia Valley, Oregon, USA",toast,0.03
"Tempranillo, Castilla and Leon, Northwest Spain, Spain",blackberry,0.03
"Friulano, Italian White, Friuli-Venezia Giulia, Northeast Italy, Italy",flower,0.04
"Grenache, Southern Rhone, Rhone Valley, France",herb,0.06
"Bordeaux-style Red Blend, Columbia Valley, Washington, USA",ripe,0.03
"Petite Sirah, Inland Valleys, California, USA",jam,0.05
"Red Blends, Red Blends, San Francisco Bay, Central Coast, California, USA",prune,0.04
"Merlot, Tuscany, Central Italy, Italy",flower,0.04
"Pinot Noir, Burgenland, Austria",vanilla,0.04
"Cabernet Franc, Long Island, New York, USA",spice,0.03
"Syrah, San Francisco Bay, Central Coast, California, USA",blueberry,0.04
"Malbec, Salta, Argentina",leather,0.03
"Red Blends, Red Blends, Long Island, New York, USA",cinnamon,0.03
"White Blend, Castilla-La Mancha, Central Spain, Spain",apple,0.05
"Cabernet Sauvignon, Southern Oregon, Oregon, USA",ripe,0.02
"Chardonnay, San Francisco Bay, Central Coast, California, USA",toast,0.03
"Cabernet Sauvignon, Napa Valley, North Coast, California, USA",leather,0.03
"Chardonnay, Jura, Burgundy, France",lactic,0.06
"Riesling, Michigan, USA",juicy,0.05
"Sauvignon Blanc, Finger Lakes, New York, USA",gooseberry,0.04
"White Blend, Macedonia, Greece",melon,0.04
"Malbec, Southwest France, France",minerality,0.03
"Syrah, San Luis Obispo, Central Coast, California, USA",cherry,0.05
"Pinot Noir, Mendocino, North Coast, California, USA",smoke,0.02
"Verdicchio, Italian White, Le Marche, Central Italy, Italy",toast,0.04
"Pinot Noir, San Benito, Central Coast, California, USA",fruit,0.02
"Red Blends, Red Blends, Sonoma Valley, North Coast, California, USA",leather,0.04
"Gruner Veltliner, Finger Lakes, New York, USA",struck_flint,0.03
"Cabernet Franc, Virginia, USA",oak,0.04
"Viognier, Sonoma Valley, North Coast, California, USA",lactic,0.03
"Chardonnay, San Luis Obispo, Central Coast, California, USA",smoke,0.03
"White Blend, Sierra Foothills, California, USA",tangerine,0.03
"Merlot, Long Island, New York, USA",coffee,0.03
"Syrah, Casablanca Valley, Aconcagua Region, Chile",juniper,0.03
"White Blend, Long Island, New York, USA",caramel,0.03
"Bordeaux-style Red Blend, Galilee, Israel",french_oak,0.05
"Gruner Veltliner, Burgenland, Austria",savory,0.03
"Chardonnay, British Columbia, Canada",apple,0.05
"White Blend, Coastal Region, South Africa",nut,0.04
"Grenache, Sonoma Valley, North Coast, California, USA",ripe,0.02
"Red Blends, Red Blends, Douro Valley, Portugal",dark_fruit,0.02
"Tempranillo, Columbia Valley, Washington, USA",cherry,0.04
"Negroamaro, Italian Red, Puglia, Southern Italy, Italy",wild_berry,0.03
"Syrah, Columbia Valley, Washington, USA",pepper,0.03
"Chardonnay, Mendoza, Argentina",pear,0.03
"Austrian white blend, White Blend, Burgenland, Austria",perfumed,0.05
"Malbec, Sonoma Valley, North Coast, California, USA",juicy,0.05
"Pinot Noir, Nelson, New Zealand",plum,0.03
"Syrah, Coastal Region, South Africa",herb,0.04
"Frappato, Italian Red, Sicily, Southern Italy, Italy",strawberry,0.05
"Cabernet Franc, Touraine, Loire Valley, France",berry,0.02
"Cabernet Sauvignon, Columbia Valley, Washington, USA",coffee,0.03
"Pinot Noir, Bio-Bio Valley, South Region, Chile",fruit,0.05
"Bordeaux-style Red Blend, South Australia, Australia",flower,0.05
"Petite Sirah, Napa Valley, North Coast, California, USA",smoke,0.04
"Sauvignon Blanc, Monterey, Central Coast, California, USA",tropical_fruit,0.04
"Syrah, Monterey, Central Coast, California, USA",boysenberry,0.03
"White Blend, Niederosterreich, Austria",fruit,0.05
"Cannonau, Grenache, Sardinia, Southern Italy, Italy",leather,0.04
"Merlot, Finger Lakes, New York, USA",bramble,0.04
"Cabernet Sauvignon, Aconcagua Valley, Aconcagua Region, Chile",flower,0.03
"Sauvignon Blanc, Clear Lake, North Coast, California",ripe,0.04
"Red Blends, Red Blends, Provence, France",spice,0.04
"Bordeaux-style Red Blend, Judea, Israel",french_oak,0.04
"Cabernet Sauvignon-Syrah, Red Blends, Columbia Valley, Washington, USA",flower,0.04
"Riesling, Nahe, Germany",tangerine,0.03
"Tinto Fino, Tempranillo, Castilla and Leon, Northwest Spain, Spain",fruit,0.03
"Pinot Grigio, Alsace, France",apple,0.02
"Cabernet Franc, Southern Oregon, Oregon, USA",sweat,0.04
"Grenache, South Australia, Australia",plum,0.03
"Chardonnay, Breede River Valley",lactic,0.04
"Bordeaux-style Red Blend, Medoc, Bordeaux, France",spice,0.02
"Syrah, Napa Valley, North Coast, California, USA",pepper,0.03
"Sauvignon Blanc, Santa Barbara, Central Coast, California, USA",wet_rocks,0.03
"White Blend, Alsace, France",minerality,0.05
"Vernaccia, Italian White, Tuscany, Central Italy, Italy",spring_flower,0.04
"Chardonnay, Catalunya, Northeast Spain, Spain",lactic,0.05
"Sauvignon Blanc, Casablanca Valley, Aconcagua Region, Chile",flower,0.04
"Bordeaux-style Red Blend, Mendoza, Argentina",cherry,0.03
"Sauvignon Blanc, Southern Oregon, Oregon, USA",super_ripe,0.03
"Bordeaux-style Red Blend, Coastal Region, South Africa",cassis,0.04
"Malbec, Colchagua Valley, Central Valley, Chile",blackberry,0.04
"Pinot Grigio, Friuli-Venezia Giulia, Northeast Italy, Italy",oak,0.04
"Petite Sirah, Columbia Valley, Washington, USA",pepper,0.04
"Syrah, Sonoma Valley, North Coast, California, USA",licorice,0.04
"Syrah, Tuscany, Central Italy, Italy",blueberry,0.04
"Sauvignon Blanc, Touraine, Loire Valley, France",melon,0.02
"Nebbiolo, Piedmont, Northwest Italy, Italy",cherry,0.03
"Red Blends, Red Blends, La Rioja, Northeast Spain, Spain",raisin,0.04
"Syrah, Alentejo, Portugal",pepper,0.02
"Red Blends, Red Blends, Alentejo, Portugal",smoke,0.05
"Red Blends, Red Blends, Umbria, Central Italy, Italy",fruit,0.04
"Red Blends, Red Blends, Clear Lake, North Coast, California",cherry,0.05
"Pinot Noir, Monterey, Central Coast, California, USA",earth,0.02
"Cabernet Sauvignon, Paso Robles, Central Coast, California, USA",boysenberry,0.03
"Red Blends, Red Blends, Burgenland, Austria",smoke,0.03
"Malbec, Southern Oregon, Oregon, USA",cherry,0.04
"Sauvignon Blanc, Long Island, New York, USA",earth,0.03
"Merlot, Colchagua Valley, Central Valley, Chile",rubber,0.04
"Sauvignon Blanc, Centre, Loire Valley, France",citrus,0.03
"Merlot, Hawkes Bay, New Zealand",toast,0.05
"Pinot Noir, Southern Oregon, Oregon, USA",raspberry,0.03
"Viognier, Sierra Foothills, California, USA",peach,0.03
"Montepulciano, Italian Red, Abruzzo, Central Italy, Italy",red_currant,0.02
"Red Blends, Red Blends, Campania, Southern Italy, Italy",blackberry,0.05
"Riesling, Mendocino, North Coast, California, USA",pine,0.03
"Pinot Grigio, Central Otago, New Zealand",salinity,0.03
"Cabernet Sauvignon-Malbec, Bordeaux-style Red Blend, Mendoza, Argentina",earth,0.05
"Viognier, Paso Robles, Central Coast, California, USA",pear,0.05
"Riesling, Mosel, Germany",flower,0.03
"Pinot Noir, Napa-Sonoma, North Coast, California, USA",strawberry,0.03
"Cabernet Sauvignon, South Coast, California, USA",cooked,0.04
"Bordeaux-style White Blend, White Blend, Bourg & Blaye, Bordeaux, France",yeast,0.03
"Cabernet Sauvignon, Colchagua Valley, Central Valley, Chile",oak,0.04
"Pinot Grigio, Willamette Valley, Oregon, USA",oak,0.03
"Petite Sirah, Clear Lake, North Coast, California",pepper,0.05
"Red Blends, Red Blends, Macedonia, Greece",anise,0.03
"Sauvignon Blanc, San Antonio Valley, Aconcagua, Chile",stone,0.04
"Viognier, Northern Rhone, Rhone Valley, France",perfumed,0.04
"Cabernet Sauvignon, Mendoza, Argentina",cherry,0.03
"Merlot, Maule Valley, Central Valley, Chile",leafy,0.04
"Pinot Noir, Centre, Loire Valley, France",berry,0.04
"Chardonnay, Hawkes Bay, New Zealand",citrus,0.02
"Pinot Grigio, Southern Oregon, Oregon, USA",minerality,0.03
"Malbec, Columbia Valley, Washington, USA",pepper,0.03
"Sauvignon Blanc, Sonoma Valley, North Coast, California, USA",peach,0.04
"Chardonnay, Inland Valleys, California, USA",flower,0.03
"Merlot, Columbia Valley, Washington, USA",toast,0.03
"Shiraz-Viognier, South Australia, Australia",berry,0.05
"Sauvignon Blanc, Friuli-Venezia Giulia, Northeast Italy, Italy",flower,0.04
"Red Blends, Red Blends, Le Marche, Central Italy, Italy",leafy,0.04
"Sauvignon Blanc, South Australia, Australia",vegetal,0.04
"Cabernet Sauvignon, South Australia, Australia",plum,0.04
"Riesling, Finger Lakes, New York, USA",savory,0.03
"Grenache, Columbia Valley, Washington, USA",perfumed,0.03
"Malbec, San Juan, Argentina",raspberry,0.04
"Sauvignon Blanc, Maipo Valley, Central Valley, Chile",vanilla,0.05
"Tempranillo, Southern Oregon, Oregon, USA",cherry,0.02
"Red Blends, Red Blends, Castilla-La Mancha, Central Spain, Spain",fruit,0.03
"Chardonnay, Champagne, France",steel,0.03
"Cabernet Sauvignon, Columbia Valley, Oregon, USA",ripe,0.03
"Sauvignon Blanc-Semillon, White Blend, Western Australia, Australia",grapefruit,0.02
"Cabernet Sauvignon, San Francisco Bay, Central Coast, California, USA",blackberry,0.05
"Grenache, Catalunya, Northeast Spain, Spain",salinity,0.04
"Viognier, South Australia, Australia",melon,0.05
"Riesling, Columbia Valley, Washington, USA",peach,0.04
"Cabernet Sauvignon, Long Island, New York, USA",smoke,0.05
"Tempranillo Blend, Tempranillo, Navarra, Northeast Spain, Spain",raisin,0.03
"Sauvignon Blanc, Southwest France, France",grass,0.03
"Gros and Petit Manseng, White Blend, Southwest France, France",super_ripe,0.02
"Viognier, Southern Oregon, Oregon, USA",steel,0.05
"Pinot Grigio, Veneto, Northeast Italy, Italy",lemon,0.04
"Ribolla Gialla, Italian White, Friuli-Venezia Giulia, Northeast Italy, Italy",orange,0.05
"Riesling, South Australia, Australia",fruit,0.04
"Tokaji, White Blend, Tokaj, Hungary",vanilla,0.03
"Merlot, San Francisco Bay, Central Coast, California, USA",cinnamon,0.04
"Zinfandel, Napa Valley, North Coast, California, USA",oak,0.04
"Pinot Grigio, Finger Lakes, New York, USA",savory,0.04
"Red Blends, Red Blends, Valencia, Northeast Spain, Spain",smoke,0.03
"Chardonnay, Lombardy, Northwest Italy, Italy",toast,0.05
"Syrah, Sierra Foothills, California, USA",pepper,0.05
"Chardonnay, San Antonio, Aconcagua Region, Chile",dust,0.04
"Bordeaux-style White Blend, White Blend, Columbia Valley, Washington, USA",lemon_pith,0.03
"Grillo, Italian White, Sicily, Southern Italy, Italy",spring_flower,0.03
"SpÃ¤tburgunder, Pinot Noir, Baden, Germany",herb,0.06
"Cabernet Franc, Sierra Foothills, California, USA",plum,0.02
"Chardonnay, Maule Valley, Central Valley, Chile",tropical_fruit,0.03
"Chardonnay, Cote Chalonnaise, Burgundy, France",minerality,0.02
"Syrah, Paso Robles, Central Coast, California, USA",tar,0.04
"Syrah, Mendocino, North Coast, California, USA",savory,0.06
"Pinot Noir, San Francisco Bay, Central Coast, California, USA",plum,0.03
"Sauvignon Blanc, Paso Robles, Central Coast, California, USA",lemon_peel,0.03
"Aglianico, Italian Red, Basilicata, Southern Italy, Italy",leather,0.04
"Provence red blend, Red Blends, Provence, France",wood_age,0.02
"Chardonnay, Burgenland, Austria",ripe,0.04
"Sangiovese, Columbia Valley, Washington, USA",raspberry,0.03
"Sauvignon Blanc, Wairarapa, New Zealand",fruit-forward,0.03
"Pinot Noir, San Luis Obispo, Central Coast, California, USA",fruit,0.03
"Sauvignon Blanc, Marlborough, New Zealand",tropical_fruit,0.04
"Cabernet Sauvignon, Catalunya, Northeast Spain, Spain",cherry,0.05
"White Blend, Burgenland, Austria",spice,0.04
"Zinfandel, Sierra Foothills, California, USA",pepper,0.03
"Riesling, Rheingau, Germany",lime,0.03
"Greco, Italian White, Campania, Southern Italy, Italy",pear,0.06
